task_id,solution,time_taken
Task044,"[[1, ""Dilation"", ""SE6""], [1, ""Dilation"", ""SE5""], [1, ""Dilation"", ""SE4""], [1, ""Dilation"", ""SE8""], [1, ""Erosion"", ""SE6""], [1, ""Erosion"", ""SE5""], [1, ""Erosion"", ""SE4""], [1, ""Erosion"", ""SE8""], [2, ""Dilation"", ""SE8""], [2, ""Dilation"", ""SE2""], [2, ""Dilation"", ""SE5""], [2, ""Dilation"", ""SE4""], [2, ""Erosion"", ""SE8""], [2, ""Erosion"", ""SE2""], [2, ""Erosion"", ""SE5""], [2, ""Erosion"", ""SE4""], [3, ""Dilation"", ""SE3""], [3, ""Dilation"", ""SE1""], [3, ""Dilation"", ""SE5""], [3, ""Dilation"", ""SE6""], [3, ""Erosion"", ""SE3""], [3, ""Erosion"", ""SE1""], [3, ""Erosion"", ""SE5""], [3, ""Erosion"", ""SE6""], [None, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 1], [0, 1, 0, 1], [0, 1, 1, 1], [1, 0, 0, 2], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 1]]]]",10.055071115493774
Task008,"[[1, ""Dilation"", ""SE5""], [1, ""Dilation"", ""SE8""], [1, ""Dilation"", ""SE2""], [1, ""Dilation"", ""SE3""], [1, ""Erosion"", ""SE5""], [1, ""Erosion"", ""SE8""], [1, ""Erosion"", ""SE2""], [1, ""Erosion"", ""SE3""], [2, ""Dilation"", ""SE8""], [2, ""Dilation"", ""SE1""], [2, ""Dilation"", ""SE5""], [2, ""Dilation"", ""SE1""], [2, ""Erosion"", ""SE8""], [2, ""Erosion"", ""SE1""], [2, ""Erosion"", ""SE5""], [2, ""Erosion"", ""SE1""], [3, ""Dilation"", ""SE8""], [3, ""Dilation"", ""SE5""], [3, ""Dilation"", ""SE3""], [3, ""Dilation"", ""SE6""], [3, ""Erosion"", ""SE8""], [3, ""Erosion"", ""SE5""], [3, ""Erosion"", ""SE3""], [3, ""Erosion"", ""SE6""], [None, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 3], [0, 1, 0, 1], [0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 1]]]]",42.62528467178345
Task049,"[[1, ""Dilation"", ""SE6""], [1, ""Dilation"", ""SE8""], [1, ""Dilation"", ""SE2""], [1, ""Dilation"", ""SE8""], [1, ""Erosion"", ""SE6""], [1, ""Erosion"", ""SE8""], [1, ""Erosion"", ""SE2""], [1, ""Erosion"", ""SE8""], [2, ""Dilation"", ""SE5""], [2, ""Dilation"", ""SE7""], [2, ""Dilation"", ""SE6""], [2, ""Dilation"", ""SE1""], [2, ""Erosion"", ""SE5""], [2, ""Erosion"", ""SE7""], [2, ""Erosion"", ""SE6""], [2, ""Erosion"", ""SE1""], [3, ""Dilation"", ""SE1""], [3, ""Dilation"", ""SE4""], [3, ""Dilation"", ""SE8""], [3, ""Dilation"", ""SE6""], [3, ""Erosion"", ""SE1""], [3, ""Erosion"", ""SE4""], [3, ""Erosion"", ""SE8""], [3, ""Erosion"", ""SE6""], [None, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 3], [0, 1, 0, 1], [0, 1, 1, 1], [1, 0, 0, 2], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 1]]]]",96.3049304485321
Task097,"[[1, ""Dilation"", ""SE4""], [1, ""Dilation"", ""SE4""], [1, ""Dilation"", ""SE2""], [1, ""Dilation"", ""SE3""], [1, ""Erosion"", ""SE4""], [1, ""Erosion"", ""SE4""], [1, ""Erosion"", ""SE2""], [1, ""Erosion"", ""SE3""], [2, ""Dilation"", ""SE8""], [2, ""Dilation"", ""SE6""], [2, ""Dilation"", ""SE8""], [2, ""Dilation"", ""SE3""], [2, ""Erosion"", ""SE8""], [2, ""Erosion"", ""SE6""], [2, ""Erosion"", ""SE8""], [2, ""Erosion"", ""SE3""], [3, ""Dilation"", ""SE3""], [3, ""Dilation"", ""SE1""], [3, ""Dilation"", ""SE4""], [3, ""Dilation"", ""SE7""], [3, ""Erosion"", ""SE3""], [3, ""Erosion"", ""SE1""], [3, ""Erosion"", ""SE4""], [3, ""Erosion"", ""SE7""], [None, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 2], [0, 1, 0, 1], [0, 1, 1, 1], [1, 0, 0, 3], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 1]]]]",170.3033196926117
Task074,"[[1, ""Dilation"", ""SE1""], [1, ""Dilation"", ""SE2""], [1, ""Dilation"", ""SE6""], [1, ""Dilation"", ""SE8""], [1, ""Erosion"", ""SE1""], [1, ""Erosion"", ""SE2""], [1, ""Erosion"", ""SE6""], [1, ""Erosion"", ""SE8""], [2, ""Dilation"", ""SE5""], [2, ""Dilation"", ""SE4""], [2, ""Dilation"", ""SE5""], [2, ""Dilation"", ""SE4""], [2, ""Erosion"", ""SE5""], [2, ""Erosion"", ""SE4""], [2, ""Erosion"", ""SE5""], [2, ""Erosion"", ""SE4""], [3, ""Dilation"", ""SE2""], [3, ""Dilation"", ""SE7""], [3, ""Dilation"", ""SE2""], [3, ""Dilation"", ""SE5""], [3, ""Erosion"", ""SE2""], [3, ""Erosion"", ""SE7""], [3, ""Erosion"", ""SE2""], [3, ""Erosion"", ""SE5""], [None, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 3], [0, 1, 0, 1], [0, 1, 1, 1], [1, 0, 0, 3], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 1]]]]",201.59507846832275
Task016,"[[1, ""Dilation"", ""SE1""], [1, ""Dilation"", ""SE4""], [1, ""Dilation"", ""SE8""], [1, ""Dilation"", ""SE4""], [1, ""Erosion"", ""SE1""], [1, ""Erosion"", ""SE4""], [1, ""Erosion"", ""SE8""], [1, ""Erosion"", ""SE4""], [2, ""Dilation"", ""SE1""], [2, ""Dilation"", ""SE2""], [2, ""Dilation"", ""SE8""], [2, ""Dilation"", ""SE4""], [2, ""Erosion"", ""SE1""], [2, ""Erosion"", ""SE2""], [2, ""Erosion"", ""SE8""], [2, ""Erosion"", ""SE4""], [3, ""Dilation"", ""SE4""], [3, ""Dilation"", ""SE1""], [3, ""Dilation"", ""SE1""], [3, ""Dilation"", ""SE8""], [3, ""Erosion"", ""SE4""], [3, ""Erosion"", ""SE1""], [3, ""Erosion"", ""SE1""], [3, ""Erosion"", ""SE8""], [None, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 1], [0, 1, 0, 2], [0, 1, 1, 1], [1, 0, 0, 3], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 1]]]]",214.55269074440002
Task045,"[[1, ""Dilation"", ""SE1""], [1, ""Dilation"", ""SE1""], [1, ""Dilation"", ""SE4""], [1, ""Dilation"", ""SE8""], [1, ""Erosion"", ""SE1""], [1, ""Erosion"", ""SE1""], [1, ""Erosion"", ""SE4""], [1, ""Erosion"", ""SE8""], [2, ""Dilation"", ""SE8""], [2, ""Dilation"", ""SE5""], [2, ""Dilation"", ""SE1""], [2, ""Dilation"", ""SE2""], [2, ""Erosion"", ""SE8""], [2, ""Erosion"", ""SE5""], [2, ""Erosion"", ""SE1""], [2, ""Erosion"", ""SE2""], [3, ""Dilation"", ""SE5""], [3, ""Dilation"", ""SE8""], [3, ""Dilation"", ""SE2""], [3, ""Dilation"", ""SE4""], [3, ""Erosion"", ""SE5""], [3, ""Erosion"", ""SE8""], [3, ""Erosion"", ""SE2""], [3, ""Erosion"", ""SE4""], [None, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 2], [0, 1, 0, 1], [0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 1, 3], [1, 1, 0, 1], [1, 1, 1, 2]]]]",1665.3574662208557
Task055,"[[1, ""Dilation"", ""SE2""], [1, ""Dilation"", ""SE4""], [1, ""Dilation"", ""SE6""], [1, ""Dilation"", ""SE1""], [1, ""Erosion"", ""SE2""], [1, ""Erosion"", ""SE4""], [1, ""Erosion"", ""SE6""], [1, ""Erosion"", ""SE1""], [2, ""Dilation"", ""SE4""], [2, ""Dilation"", ""SE5""], [2, ""Dilation"", ""SE5""], [2, ""Dilation"", ""SE6""], [2, ""Erosion"", ""SE4""], [2, ""Erosion"", ""SE5""], [2, ""Erosion"", ""SE5""], [2, ""Erosion"", ""SE6""], [3, ""Dilation"", ""SE8""], [3, ""Dilation"", ""SE4""], [3, ""Dilation"", ""SE3""], [3, ""Dilation"", ""SE3""], [3, ""Erosion"", ""SE8""], [3, ""Erosion"", ""SE4""], [3, ""Erosion"", ""SE3""], [3, ""Erosion"", ""SE3""], [None, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 3], [0, 1, 0, 3], [0, 1, 1, 1], [1, 0, 0, 2], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 1]]]]",1695.4810514450073
Task061,"[[1, ""Dilation"", ""SE3""], [1, ""Dilation"", ""SE2""], [1, ""Dilation"", ""SE6""], [1, ""Dilation"", ""SE1""], [1, ""Erosion"", ""SE3""], [1, ""Erosion"", ""SE2""], [1, ""Erosion"", ""SE6""], [1, ""Erosion"", ""SE1""], [2, ""Dilation"", ""SE3""], [2, ""Dilation"", ""SE4""], [2, ""Dilation"", ""SE3""], [2, ""Dilation"", ""SE6""], [2, ""Erosion"", ""SE3""], [2, ""Erosion"", ""SE4""], [2, ""Erosion"", ""SE3""], [2, ""Erosion"", ""SE6""], [3, ""Dilation"", ""SE4""], [3, ""Dilation"", ""SE6""], [3, ""Dilation"", ""SE7""], [3, ""Dilation"", ""SE7""], [3, ""Erosion"", ""SE4""], [3, ""Erosion"", ""SE6""], [3, ""Erosion"", ""SE7""], [3, ""Erosion"", ""SE7""], [None, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 3], [0, 1, 0, 2], [0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 1]]]]",95.9276328086853
Task028,"[[1, ""Dilation"", ""SE5""], [1, ""Dilation"", ""SE8""], [1, ""Dilation"", ""SE2""], [1, ""Dilation"", ""SE2""], [1, ""Erosion"", ""SE5""], [1, ""Erosion"", ""SE8""], [1, ""Erosion"", ""SE2""], [1, ""Erosion"", ""SE2""], [2, ""Dilation"", ""SE1""], [2, ""Dilation"", ""SE7""], [2, ""Dilation"", ""SE1""], [2, ""Dilation"", ""SE3""], [2, ""Erosion"", ""SE1""], [2, ""Erosion"", ""SE7""], [2, ""Erosion"", ""SE1""], [2, ""Erosion"", ""SE3""], [3, ""Dilation"", ""SE8""], [3, ""Dilation"", ""SE3""], [3, ""Dilation"", ""SE2""], [3, ""Dilation"", ""SE2""], [3, ""Erosion"", ""SE8""], [3, ""Erosion"", ""SE3""], [3, ""Erosion"", ""SE2""], [3, ""Erosion"", ""SE2""], [None, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 2], [0, 1, 0, 1], [0, 1, 1, 1], [1, 0, 0, 2], [1, 0, 1, 1], [1, 1, 0, 2], [1, 1, 1, 1]]]]",2008.101154088974
