task_id,solution,time_taken
Task084,"[[1, ""Dilation"", ""SE2""], [1, ""Dilation"", ""SE5""], [1, ""Dilation"", ""SE6""], [1, ""Dilation"", ""SE7""], [1, ""Erosion"", ""SE2""], [1, ""Erosion"", ""SE5""], [1, ""Erosion"", ""SE6""], [1, ""Erosion"", ""SE7""], [2, ""Dilation"", ""SE1""], [2, ""Dilation"", ""SE2""], [2, ""Dilation"", ""SE4""], [2, ""Dilation"", ""SE8""], [2, ""Erosion"", ""SE1""], [2, ""Erosion"", ""SE2""], [2, ""Erosion"", ""SE4""], [2, ""Erosion"", ""SE8""], [3, ""Dilation"", ""SE2""], [3, ""Dilation"", ""SE2""], [3, ""Dilation"", ""SE5""], [3, ""Dilation"", ""SE5""], [3, ""Erosion"", ""SE2""], [3, ""Erosion"", ""SE2""], [3, ""Erosion"", ""SE5""], [3, ""Erosion"", ""SE5""], [null, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 1], [0, 1, 0, 2], [0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 1, 1], [1, 1, 0, 2], [1, 1, 1, 1]]]]",6.20172381401062
Task092,"[[1, ""Dilation"", ""SE1""], [1, ""Dilation"", ""SE2""], [1, ""Dilation"", ""SE4""], [1, ""Dilation"", ""SE6""], [1, ""Erosion"", ""SE1""], [1, ""Erosion"", ""SE2""], [1, ""Erosion"", ""SE4""], [1, ""Erosion"", ""SE6""], [2, ""Dilation"", ""SE1""], [2, ""Dilation"", ""SE1""], [2, ""Dilation"", ""SE2""], [2, ""Dilation"", ""SE4""], [2, ""Erosion"", ""SE1""], [2, ""Erosion"", ""SE1""], [2, ""Erosion"", ""SE2""], [2, ""Erosion"", ""SE4""], [3, ""Dilation"", ""SE2""], [3, ""Dilation"", ""SE7""], [3, ""Dilation"", ""SE4""], [3, ""Dilation"", ""SE7""], [3, ""Erosion"", ""SE2""], [3, ""Erosion"", ""SE7""], [3, ""Erosion"", ""SE4""], [3, ""Erosion"", ""SE7""], [null, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 1], [0, 1, 0, 2], [0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 1, 3], [1, 1, 0, 1], [1, 1, 1, 1]]]]",6.0218400955200195
Task006,"[[1, ""Dilation"", ""SE1""], [1, ""Dilation"", ""SE1""], [1, ""Dilation"", ""SE1""], [1, ""Dilation"", ""SE1""], [1, ""Erosion"", ""SE1""], [1, ""Erosion"", ""SE1""], [1, ""Erosion"", ""SE1""], [1, ""Erosion"", ""SE1""], [2, ""Dilation"", ""SE1""], [2, ""Dilation"", ""SE5""], [2, ""Dilation"", ""SE7""], [2, ""Dilation"", ""SE1""], [2, ""Erosion"", ""SE1""], [2, ""Erosion"", ""SE5""], [2, ""Erosion"", ""SE7""], [2, ""Erosion"", ""SE1""], [3, ""Dilation"", ""SE1""], [3, ""Dilation"", ""SE2""], [3, ""Dilation"", ""SE2""], [3, ""Dilation"", ""SE6""], [3, ""Erosion"", ""SE1""], [3, ""Erosion"", ""SE2""], [3, ""Erosion"", ""SE2""], [3, ""Erosion"", ""SE6""], [null, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 3], [0, 1, 0, 3], [0, 1, 1, 1], [1, 0, 0, 3], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 1]]]]",6.438703298568726
Task051,"[[1, ""Dilation"", ""SE2""], [1, ""Dilation"", ""SE7""], [1, ""Dilation"", ""SE8""], [1, ""Dilation"", ""SE6""], [1, ""Erosion"", ""SE2""], [1, ""Erosion"", ""SE7""], [1, ""Erosion"", ""SE8""], [1, ""Erosion"", ""SE6""], [2, ""Dilation"", ""SE2""], [2, ""Dilation"", ""SE2""], [2, ""Dilation"", ""SE7""], [2, ""Dilation"", ""SE2""], [2, ""Erosion"", ""SE2""], [2, ""Erosion"", ""SE2""], [2, ""Erosion"", ""SE7""], [2, ""Erosion"", ""SE2""], [3, ""Dilation"", ""SE1""], [3, ""Dilation"", ""SE1""], [3, ""Dilation"", ""SE5""], [3, ""Dilation"", ""SE1""], [3, ""Erosion"", ""SE1""], [3, ""Erosion"", ""SE1""], [3, ""Erosion"", ""SE5""], [3, ""Erosion"", ""SE1""], [null, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 1], [0, 1, 0, 2], [0, 1, 1, 1], [1, 0, 0, 2], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 1]]]]",6.190942049026489
Task047,"[[1, ""Dilation"", ""SE1""], [1, ""Dilation"", ""SE2""], [1, ""Dilation"", ""SE8""], [1, ""Dilation"", ""SE2""], [1, ""Erosion"", ""SE1""], [1, ""Erosion"", ""SE2""], [1, ""Erosion"", ""SE8""], [1, ""Erosion"", ""SE2""], [2, ""Dilation"", ""SE1""], [2, ""Dilation"", ""SE7""], [2, ""Dilation"", ""SE7""], [2, ""Dilation"", ""SE5""], [2, ""Erosion"", ""SE1""], [2, ""Erosion"", ""SE7""], [2, ""Erosion"", ""SE7""], [2, ""Erosion"", ""SE5""], [3, ""Dilation"", ""SE1""], [3, ""Dilation"", ""SE2""], [3, ""Dilation"", ""SE4""], [3, ""Dilation"", ""SE7""], [3, ""Erosion"", ""SE1""], [3, ""Erosion"", ""SE2""], [3, ""Erosion"", ""SE4""], [3, ""Erosion"", ""SE7""], [null, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 1], [0, 1, 0, 1], [0, 1, 1, 2], [1, 0, 0, 3], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 1]]]]",6.254258871078491
Task010,"[[1, ""Dilation"", ""SE1""], [1, ""Dilation"", ""SE1""], [1, ""Dilation"", ""SE8""], [1, ""Dilation"", ""SE5""], [1, ""Erosion"", ""SE1""], [1, ""Erosion"", ""SE1""], [1, ""Erosion"", ""SE8""], [1, ""Erosion"", ""SE5""], [2, ""Dilation"", ""SE1""], [2, ""Dilation"", ""SE4""], [2, ""Dilation"", ""SE8""], [2, ""Dilation"", ""SE5""], [2, ""Erosion"", ""SE1""], [2, ""Erosion"", ""SE4""], [2, ""Erosion"", ""SE8""], [2, ""Erosion"", ""SE5""], [3, ""Dilation"", ""SE1""], [3, ""Dilation"", ""SE1""], [3, ""Dilation"", ""SE1""], [3, ""Dilation"", ""SE4""], [3, ""Erosion"", ""SE1""], [3, ""Erosion"", ""SE1""], [3, ""Erosion"", ""SE1""], [3, ""Erosion"", ""SE4""], [null, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 2], [0, 1, 0, 1], [0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 1, 1], [1, 1, 0, 3], [1, 1, 1, 1]]]]",6.431862115859985
Task067,"[[1, ""Dilation"", ""SE1""], [1, ""Dilation"", ""SE4""], [1, ""Dilation"", ""SE8""], [1, ""Dilation"", ""SE7""], [1, ""Erosion"", ""SE1""], [1, ""Erosion"", ""SE4""], [1, ""Erosion"", ""SE8""], [1, ""Erosion"", ""SE7""], [2, ""Dilation"", ""SE2""], [2, ""Dilation"", ""SE2""], [2, ""Dilation"", ""SE2""], [2, ""Dilation"", ""SE5""], [2, ""Erosion"", ""SE2""], [2, ""Erosion"", ""SE2""], [2, ""Erosion"", ""SE2""], [2, ""Erosion"", ""SE5""], [3, ""Dilation"", ""SE1""], [3, ""Dilation"", ""SE1""], [3, ""Dilation"", ""SE1""], [3, ""Dilation"", ""SE6""], [3, ""Erosion"", ""SE1""], [3, ""Erosion"", ""SE1""], [3, ""Erosion"", ""SE1""], [3, ""Erosion"", ""SE6""], [null, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 2], [0, 1, 0, 1], [0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 1]]]]",6.274296045303345
Task088,"[[1, ""Dilation"", ""SE1""], [1, ""Dilation"", ""SE2""], [1, ""Dilation"", ""SE7""], [1, ""Dilation"", ""SE5""], [1, ""Erosion"", ""SE1""], [1, ""Erosion"", ""SE2""], [1, ""Erosion"", ""SE7""], [1, ""Erosion"", ""SE5""], [2, ""Dilation"", ""SE1""], [2, ""Dilation"", ""SE1""], [2, ""Dilation"", ""SE6""], [2, ""Dilation"", ""SE7""], [2, ""Erosion"", ""SE1""], [2, ""Erosion"", ""SE1""], [2, ""Erosion"", ""SE6""], [2, ""Erosion"", ""SE7""], [3, ""Dilation"", ""SE1""], [3, ""Dilation"", ""SE1""], [3, ""Dilation"", ""SE6""], [3, ""Dilation"", ""SE7""], [3, ""Erosion"", ""SE1""], [3, ""Erosion"", ""SE1""], [3, ""Erosion"", ""SE6""], [3, ""Erosion"", ""SE7""], [null, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 1], [0, 1, 0, 1], [0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 1]]]]",6.274157762527466
Task030,"[[1, ""Dilation"", ""SE1""], [1, ""Dilation"", ""SE2""], [1, ""Dilation"", ""SE4""], [1, ""Dilation"", ""SE6""], [1, ""Erosion"", ""SE1""], [1, ""Erosion"", ""SE2""], [1, ""Erosion"", ""SE4""], [1, ""Erosion"", ""SE6""], [2, ""Dilation"", ""SE2""], [2, ""Dilation"", ""SE2""], [2, ""Dilation"", ""SE6""], [2, ""Dilation"", ""SE5""], [2, ""Erosion"", ""SE2""], [2, ""Erosion"", ""SE2""], [2, ""Erosion"", ""SE6""], [2, ""Erosion"", ""SE5""], [3, ""Dilation"", ""SE1""], [3, ""Dilation"", ""SE2""], [3, ""Dilation"", ""SE2""], [3, ""Dilation"", ""SE5""], [3, ""Erosion"", ""SE1""], [3, ""Erosion"", ""SE2""], [3, ""Erosion"", ""SE2""], [3, ""Erosion"", ""SE5""], [null, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 3], [0, 1, 0, 2], [0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 1, 3], [1, 1, 0, 2], [1, 1, 1, 1]]]]",6.3198158740997314
Task026,"[[1, ""Dilation"", ""SE1""], [1, ""Dilation"", ""SE1""], [1, ""Dilation"", ""SE1""], [1, ""Dilation"", ""SE8""], [1, ""Erosion"", ""SE1""], [1, ""Erosion"", ""SE1""], [1, ""Erosion"", ""SE1""], [1, ""Erosion"", ""SE8""], [2, ""Dilation"", ""SE1""], [2, ""Dilation"", ""SE2""], [2, ""Dilation"", ""SE2""], [2, ""Dilation"", ""SE5""], [2, ""Erosion"", ""SE1""], [2, ""Erosion"", ""SE2""], [2, ""Erosion"", ""SE2""], [2, ""Erosion"", ""SE5""], [3, ""Dilation"", ""SE1""], [3, ""Dilation"", ""SE8""], [3, ""Dilation"", ""SE7""], [3, ""Dilation"", ""SE8""], [3, ""Erosion"", ""SE1""], [3, ""Erosion"", ""SE8""], [3, ""Erosion"", ""SE7""], [3, ""Erosion"", ""SE8""], [null, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 3], [0, 1, 0, 2], [0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 1]]]]",6.561891794204712
