task_id,solution,time_taken
Task021,"[[1, ""Dilation"", ""SE7""], [1, ""Dilation"", ""SE5""], [1, ""Dilation"", ""SE3""], [1, ""Dilation"", ""SE3""], [1, ""Erosion"", ""SE7""], [1, ""Erosion"", ""SE5""], [1, ""Erosion"", ""SE3""], [1, ""Erosion"", ""SE3""], [2, ""Dilation"", ""SE6""], [2, ""Dilation"", ""SE1""], [2, ""Dilation"", ""SE7""], [2, ""Dilation"", ""SE5""], [2, ""Erosion"", ""SE6""], [2, ""Erosion"", ""SE1""], [2, ""Erosion"", ""SE7""], [2, ""Erosion"", ""SE5""], [3, ""Dilation"", ""SE7""], [3, ""Dilation"", ""SE8""], [3, ""Dilation"", ""SE4""], [3, ""Dilation"", ""SE5""], [3, ""Erosion"", ""SE7""], [3, ""Erosion"", ""SE8""], [3, ""Erosion"", ""SE4""], [3, ""Erosion"", ""SE5""], [None, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 2], [0, 1, 0, 1], [0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 1]]]]",88.03380393981934
Task025,"[[1, ""Dilation"", ""SE4""], [1, ""Dilation"", ""SE1""], [1, ""Dilation"", ""SE8""], [1, ""Dilation"", ""SE1""], [1, ""Erosion"", ""SE4""], [1, ""Erosion"", ""SE1""], [1, ""Erosion"", ""SE8""], [1, ""Erosion"", ""SE1""], [2, ""Dilation"", ""SE4""], [2, ""Dilation"", ""SE4""], [2, ""Dilation"", ""SE3""], [2, ""Dilation"", ""SE2""], [2, ""Erosion"", ""SE4""], [2, ""Erosion"", ""SE4""], [2, ""Erosion"", ""SE3""], [2, ""Erosion"", ""SE2""], [3, ""Dilation"", ""SE5""], [3, ""Dilation"", ""SE8""], [3, ""Dilation"", ""SE5""], [3, ""Dilation"", ""SE3""], [3, ""Erosion"", ""SE5""], [3, ""Erosion"", ""SE8""], [3, ""Erosion"", ""SE5""], [3, ""Erosion"", ""SE3""], [None, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 2], [0, 1, 0, 3], [0, 1, 1, 1], [1, 0, 0, 3], [1, 0, 1, 1], [1, 1, 0, 2], [1, 1, 1, 1]]]]",97.83881115913391
Task026,"[[1, ""Dilation"", ""SE2""], [1, ""Dilation"", ""SE8""], [1, ""Dilation"", ""SE6""], [1, ""Dilation"", ""SE2""], [1, ""Erosion"", ""SE2""], [1, ""Erosion"", ""SE8""], [1, ""Erosion"", ""SE6""], [1, ""Erosion"", ""SE2""], [2, ""Dilation"", ""SE5""], [2, ""Dilation"", ""SE2""], [2, ""Dilation"", ""SE3""], [2, ""Dilation"", ""SE2""], [2, ""Erosion"", ""SE5""], [2, ""Erosion"", ""SE2""], [2, ""Erosion"", ""SE3""], [2, ""Erosion"", ""SE2""], [3, ""Dilation"", ""SE1""], [3, ""Dilation"", ""SE8""], [3, ""Dilation"", ""SE8""], [3, ""Dilation"", ""SE7""], [3, ""Erosion"", ""SE1""], [3, ""Erosion"", ""SE8""], [3, ""Erosion"", ""SE8""], [3, ""Erosion"", ""SE7""], [None, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 3], [0, 1, 0, 2], [0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 1]]]]",30.750821352005005
Task080,"[[1, ""Dilation"", ""SE7""], [1, ""Dilation"", ""SE5""], [1, ""Dilation"", ""SE6""], [1, ""Dilation"", ""SE5""], [1, ""Erosion"", ""SE7""], [1, ""Erosion"", ""SE5""], [1, ""Erosion"", ""SE6""], [1, ""Erosion"", ""SE5""], [2, ""Dilation"", ""SE5""], [2, ""Dilation"", ""SE7""], [2, ""Dilation"", ""SE8""], [2, ""Dilation"", ""SE2""], [2, ""Erosion"", ""SE5""], [2, ""Erosion"", ""SE7""], [2, ""Erosion"", ""SE8""], [2, ""Erosion"", ""SE2""], [3, ""Dilation"", ""SE8""], [3, ""Dilation"", ""SE6""], [3, ""Dilation"", ""SE4""], [3, ""Dilation"", ""SE6""], [3, ""Erosion"", ""SE8""], [3, ""Erosion"", ""SE6""], [3, ""Erosion"", ""SE4""], [3, ""Erosion"", ""SE6""], [None, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 3], [0, 1, 0, 2], [0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 1]]]]",132.27555632591248
Task016,"[[1, ""Dilation"", ""SE6""], [1, ""Dilation"", ""SE4""], [1, ""Dilation"", ""SE8""], [1, ""Dilation"", ""SE8""], [1, ""Erosion"", ""SE6""], [1, ""Erosion"", ""SE4""], [1, ""Erosion"", ""SE8""], [1, ""Erosion"", ""SE8""], [2, ""Dilation"", ""SE1""], [2, ""Dilation"", ""SE8""], [2, ""Dilation"", ""SE4""], [2, ""Dilation"", ""SE3""], [2, ""Erosion"", ""SE1""], [2, ""Erosion"", ""SE8""], [2, ""Erosion"", ""SE4""], [2, ""Erosion"", ""SE3""], [3, ""Dilation"", ""SE4""], [3, ""Dilation"", ""SE4""], [3, ""Dilation"", ""SE1""], [3, ""Dilation"", ""SE8""], [3, ""Erosion"", ""SE4""], [3, ""Erosion"", ""SE4""], [3, ""Erosion"", ""SE1""], [3, ""Erosion"", ""SE8""], [None, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 1], [0, 1, 0, 2], [0, 1, 1, 1], [1, 0, 0, 3], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 1]]]]",166.35472559928894
Task058,"[[1, ""Dilation"", ""SE2""], [1, ""Dilation"", ""SE7""], [1, ""Dilation"", ""SE7""], [1, ""Dilation"", ""SE2""], [1, ""Erosion"", ""SE2""], [1, ""Erosion"", ""SE7""], [1, ""Erosion"", ""SE7""], [1, ""Erosion"", ""SE2""], [2, ""Dilation"", ""SE6""], [2, ""Dilation"", ""SE7""], [2, ""Dilation"", ""SE2""], [2, ""Dilation"", ""SE3""], [2, ""Erosion"", ""SE6""], [2, ""Erosion"", ""SE7""], [2, ""Erosion"", ""SE2""], [2, ""Erosion"", ""SE3""], [3, ""Dilation"", ""SE5""], [3, ""Dilation"", ""SE6""], [3, ""Dilation"", ""SE1""], [3, ""Dilation"", ""SE8""], [3, ""Erosion"", ""SE5""], [3, ""Erosion"", ""SE6""], [3, ""Erosion"", ""SE1""], [3, ""Erosion"", ""SE8""], [None, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 2], [0, 1, 0, 3], [0, 1, 1, 1], [1, 0, 0, 3], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 1]]]]",82.13221836090088
Task061,"[[1, ""Dilation"", ""SE7""], [1, ""Dilation"", ""SE7""], [1, ""Dilation"", ""SE4""], [1, ""Dilation"", ""SE3""], [1, ""Erosion"", ""SE7""], [1, ""Erosion"", ""SE7""], [1, ""Erosion"", ""SE4""], [1, ""Erosion"", ""SE3""], [2, ""Dilation"", ""SE6""], [2, ""Dilation"", ""SE2""], [2, ""Dilation"", ""SE4""], [2, ""Dilation"", ""SE2""], [2, ""Erosion"", ""SE6""], [2, ""Erosion"", ""SE2""], [2, ""Erosion"", ""SE4""], [2, ""Erosion"", ""SE2""], [3, ""Dilation"", ""SE5""], [3, ""Dilation"", ""SE6""], [3, ""Dilation"", ""SE7""], [3, ""Dilation"", ""SE4""], [3, ""Erosion"", ""SE5""], [3, ""Erosion"", ""SE6""], [3, ""Erosion"", ""SE7""], [3, ""Erosion"", ""SE4""], [None, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 3], [0, 1, 0, 2], [0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 1]]]]",22.607128143310547
Task070,"[[1, ""Dilation"", ""SE5""], [1, ""Dilation"", ""SE4""], [1, ""Dilation"", ""SE5""], [1, ""Dilation"", ""SE6""], [1, ""Erosion"", ""SE5""], [1, ""Erosion"", ""SE4""], [1, ""Erosion"", ""SE5""], [1, ""Erosion"", ""SE6""], [2, ""Dilation"", ""SE5""], [2, ""Dilation"", ""SE3""], [2, ""Dilation"", ""SE7""], [2, ""Dilation"", ""SE1""], [2, ""Erosion"", ""SE5""], [2, ""Erosion"", ""SE3""], [2, ""Erosion"", ""SE7""], [2, ""Erosion"", ""SE1""], [3, ""Dilation"", ""SE2""], [3, ""Dilation"", ""SE8""], [3, ""Dilation"", ""SE5""], [3, ""Dilation"", ""SE8""], [3, ""Erosion"", ""SE2""], [3, ""Erosion"", ""SE8""], [3, ""Erosion"", ""SE5""], [3, ""Erosion"", ""SE8""], [None, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 1], [0, 1, 0, 2], [0, 1, 1, 1], [1, 0, 0, 2], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 1]]]]",1223.5652072429657
Task049,"[[1, ""Dilation"", ""SE4""], [1, ""Dilation"", ""SE8""], [1, ""Dilation"", ""SE1""], [1, ""Dilation"", ""SE3""], [1, ""Erosion"", ""SE4""], [1, ""Erosion"", ""SE8""], [1, ""Erosion"", ""SE1""], [1, ""Erosion"", ""SE3""], [2, ""Dilation"", ""SE6""], [2, ""Dilation"", ""SE7""], [2, ""Dilation"", ""SE6""], [2, ""Dilation"", ""SE5""], [2, ""Erosion"", ""SE6""], [2, ""Erosion"", ""SE7""], [2, ""Erosion"", ""SE6""], [2, ""Erosion"", ""SE5""], [3, ""Dilation"", ""SE6""], [3, ""Dilation"", ""SE8""], [3, ""Dilation"", ""SE2""], [3, ""Dilation"", ""SE1""], [3, ""Erosion"", ""SE6""], [3, ""Erosion"", ""SE8""], [3, ""Erosion"", ""SE2""], [3, ""Erosion"", ""SE1""], [None, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 3], [0, 1, 0, 1], [0, 1, 1, 1], [1, 0, 0, 2], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 1]]]]",1619.2673125267029
Task037,"[[1, ""Dilation"", ""SE4""], [1, ""Dilation"", ""SE1""], [1, ""Dilation"", ""SE7""], [1, ""Dilation"", ""SE4""], [1, ""Erosion"", ""SE4""], [1, ""Erosion"", ""SE1""], [1, ""Erosion"", ""SE7""], [1, ""Erosion"", ""SE4""], [2, ""Dilation"", ""SE7""], [2, ""Dilation"", ""SE1""], [2, ""Dilation"", ""SE8""], [2, ""Dilation"", ""SE3""], [2, ""Erosion"", ""SE7""], [2, ""Erosion"", ""SE1""], [2, ""Erosion"", ""SE8""], [2, ""Erosion"", ""SE3""], [3, ""Dilation"", ""SE5""], [3, ""Dilation"", ""SE7""], [3, ""Dilation"", ""SE6""], [3, ""Dilation"", ""SE6""], [3, ""Erosion"", ""SE5""], [3, ""Erosion"", ""SE7""], [3, ""Erosion"", ""SE6""], [3, ""Erosion"", ""SE6""], [None, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 1], [0, 1, 0, 3], [0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 1]]]]",14.461896419525146
Task055,"[[1, ""Dilation"", ""SE1""], [1, ""Dilation"", ""SE6""], [1, ""Dilation"", ""SE4""], [1, ""Dilation"", ""SE3""], [1, ""Erosion"", ""SE1""], [1, ""Erosion"", ""SE6""], [1, ""Erosion"", ""SE4""], [1, ""Erosion"", ""SE3""], [2, ""Dilation"", ""SE1""], [2, ""Dilation"", ""SE5""], [2, ""Dilation"", ""SE4""], [2, ""Dilation"", ""SE6""], [2, ""Erosion"", ""SE1""], [2, ""Erosion"", ""SE5""], [2, ""Erosion"", ""SE4""], [2, ""Erosion"", ""SE6""], [3, ""Dilation"", ""SE2""], [3, ""Dilation"", ""SE3""], [3, ""Dilation"", ""SE3""], [3, ""Dilation"", ""SE2""], [3, ""Erosion"", ""SE2""], [3, ""Erosion"", ""SE3""], [3, ""Erosion"", ""SE3""], [3, ""Erosion"", ""SE2""], [None, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 3], [0, 1, 0, 3], [0, 1, 1, 1], [1, 0, 0, 2], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 1]]]]",1814.0627765655518
Task050,"[[1, ""Dilation"", ""SE7""], [1, ""Dilation"", ""SE3""], [1, ""Dilation"", ""SE3""], [1, ""Dilation"", ""SE4""], [1, ""Erosion"", ""SE7""], [1, ""Erosion"", ""SE3""], [1, ""Erosion"", ""SE3""], [1, ""Erosion"", ""SE4""], [2, ""Dilation"", ""SE7""], [2, ""Dilation"", ""SE2""], [2, ""Dilation"", ""SE4""], [2, ""Dilation"", ""SE8""], [2, ""Erosion"", ""SE7""], [2, ""Erosion"", ""SE2""], [2, ""Erosion"", ""SE4""], [2, ""Erosion"", ""SE8""], [3, ""Dilation"", ""SE2""], [3, ""Dilation"", ""SE3""], [3, ""Dilation"", ""SE2""], [3, ""Dilation"", ""SE6""], [3, ""Erosion"", ""SE2""], [3, ""Erosion"", ""SE3""], [3, ""Erosion"", ""SE2""], [3, ""Erosion"", ""SE6""], [None, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 3], [0, 1, 0, 1], [0, 1, 1, 1], [1, 0, 0, 3], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 1]]]]",1704.643490076065
Task011,"[[1, ""Dilation"", ""SE4""], [1, ""Dilation"", ""SE4""], [1, ""Dilation"", ""SE3""], [1, ""Dilation"", ""SE5""], [1, ""Erosion"", ""SE4""], [1, ""Erosion"", ""SE4""], [1, ""Erosion"", ""SE3""], [1, ""Erosion"", ""SE5""], [2, ""Dilation"", ""SE4""], [2, ""Dilation"", ""SE4""], [2, ""Dilation"", ""SE1""], [2, ""Dilation"", ""SE2""], [2, ""Erosion"", ""SE4""], [2, ""Erosion"", ""SE4""], [2, ""Erosion"", ""SE1""], [2, ""Erosion"", ""SE2""], [3, ""Dilation"", ""SE1""], [3, ""Dilation"", ""SE8""], [3, ""Dilation"", ""SE4""], [3, ""Dilation"", ""SE4""], [3, ""Erosion"", ""SE1""], [3, ""Erosion"", ""SE8""], [3, ""Erosion"", ""SE4""], [3, ""Erosion"", ""SE4""], [None, ""color_rule"", [[0, 0, 0, 0], [0, 0, 1, 3], [0, 1, 0, 3], [0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 1, 3], [1, 1, 0, 2], [1, 1, 1, 1]]]]",1831.6741359233856
