task,solution,time_taken
Task003.json,"[[None, 1, ""Hit-Or-Miss"", ""SE3""], [1, 3, ""Dilation"", ""SE1""], [1, 3, ""Erosion"", ""SE1""], [2, 1, ""Dilation"", ""SE3""], [2, 1, ""Dilation"", ""SE3""], [2, 1, ""Dilation"", ""SE7""], [2, 1, ""Dilation"", ""SE7""], [2, 1, ""Erosion"", ""SE3""], [2, 1, ""Erosion"", ""SE7""], [2, 1, ""Erosion"", ""SE7""], [None, 1, ""change_color"", [[0, 0, 0], [1, 0, 1], [0, 1, 2], [1, 1, 2]]]]",4.37
Task007.json,"[[None, 1, ""Hit-Or-Miss"", ""SE5""], [1, 3, ""Dilation"", ""SE7""], [1, 3, ""Erosion"", ""SE7""], [2, 1, ""Dilation"", ""SE8""], [2, 1, ""Dilation"", ""SE5""], [2, 1, ""Dilation"", ""SE6""], [2, 1, ""Dilation"", ""SE4""], [2, 1, ""Erosion"", ""SE8""], [2, 1, ""Erosion"", ""SE6""], [2, 1, ""Erosion"", ""SE4""], [None, 1, ""change_color"", [[0, 0, 0], [0, 1, 2], [1, 0, 1], [1, 1, 2]]]]",7.91
Task009.json,"[[None, 1, ""Hit-Or-Miss"", ""SE1""], [1, 3, ""Dilation"", ""SE6""], [1, 3, ""Erosion"", ""SE6""], [2, 1, ""Dilation"", ""SE5""], [2, 1, ""Dilation"", ""SE6""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE3""], [2, 1, ""Erosion"", ""SE5""], [2, 1, ""Erosion"", ""SE3""], [2, 1, ""Erosion"", ""SE6""], [None, 1, ""change_color"", [[0, 0, 0], [0, 1, 2], [1, 0, 1], [1, 1, 2]]]]",1.2
Task011.json,"[[None, 1, ""Hit-Or-Miss"", ""SE7""], [1, 4, ""Dilation"", ""SE3""], [1, 4, ""Erosion"", ""SE3""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE8""], [2, 1, ""Dilation"", ""SE7""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE8""], [None, 1, ""change_color"", [[0, 0, 0], [1, 0, 1], [0, 1, 2], [1, 1, 2]]]]",11.71
Task013.json,"[[None, 1, ""Hit-Or-Miss"", ""SE7""], [1, 2, ""Dilation"", ""SE5""], [1, 2, ""Erosion"", ""SE5""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE7""], [2, 1, ""Dilation"", ""SE2""], [2, 1, ""Dilation"", ""SE3""], [2, 1, ""Erosion"", ""SE3""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE2""], [None, 1, ""change_color"", [[0, 0, 0], [1, 0, 1], [1, 1, 2]]]]",15.24
Task014.json,"[[None, 1, ""Hit-Or-Miss"", ""SE4""], [1, 2, ""Dilation"", ""SE6""], [1, 2, ""Erosion"", ""SE6""], [2, 1, ""Dilation"", ""SE4""], [2, 1, ""Dilation"", ""SE6""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE8""], [2, 1, ""Erosion"", ""SE8""], [2, 1, ""Erosion"", ""SE6""], [2, 1, ""Erosion"", ""SE4""], [None, 1, ""change_color"", [[0, 0, 0], [1, 0, 1], [1, 1, 2]]]]",14.9
Task015.json,"[[None, 1, ""Hit-Or-Miss"", ""SE2""], [1, 2, ""Dilation"", ""SE8""], [1, 2, ""Erosion"", ""SE8""], [2, 1, ""Dilation"", ""SE3""], [2, 1, ""Dilation"", ""SE2""], [2, 1, ""Dilation"", ""SE5""], [2, 1, ""Dilation"", ""SE7""], [2, 1, ""Erosion"", ""SE5""], [2, 1, ""Erosion"", ""SE7""], [2, 1, ""Erosion"", ""SE2""], [None, 1, ""change_color"", [[0, 0, 0], [1, 0, 1], [1, 1, 2], [0, 1, 2]]]]",3.82
Task016.json,"[[None, 1, ""Hit-Or-Miss"", ""SE7""], [1, 2, ""Dilation"", ""SE7""], [1, 2, ""Erosion"", ""SE7""], [2, 1, ""Dilation"", ""SE7""], [2, 1, ""Dilation"", ""SE7""], [2, 1, ""Dilation"", ""SE5""], [2, 1, ""Dilation"", ""SE5""], [2, 1, ""Erosion"", ""SE5""], [2, 1, ""Erosion"", ""SE7""], [2, 1, ""Erosion"", ""SE5""], [None, 1, ""change_color"", [[0, 0, 0], [0, 1, 2], [1, 0, 1], [1, 1, 2]]]]",15.98
Task017.json,"[[None, 1, ""Hit-Or-Miss"", ""SE1""], [1, 4, ""Dilation"", ""SE4""], [1, 4, ""Erosion"", ""SE4""], [2, 1, ""Dilation"", ""SE7""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE2""], [2, 1, ""Dilation"", ""SE2""], [2, 1, ""Erosion"", ""SE2""], [2, 1, ""Erosion"", ""SE7""], [2, 1, ""Erosion"", ""SE2""], [None, 1, ""change_color"", [[0, 0, 0], [1, 0, 1], [0, 1, 2]]]]",1.79
Task019.json,"[[None, 1, ""Hit-Or-Miss"", ""SE7""], [1, 2, ""Dilation"", ""SE1""], [1, 2, ""Erosion"", ""SE1""], [2, 1, ""Dilation"", ""SE3""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE7""], [2, 1, ""Dilation"", ""SE2""], [2, 1, ""Erosion"", ""SE3""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE3""], [None, 1, ""change_color"", [[0, 0, 0], [1, 0, 1], [1, 1, 2]]]]",35.4
