task_id,solution,time_taken
Task000.json,"[[None, 1, ""Hit-Or-Miss"", ""SE8""], [1, 2, ""Dilation"", ""SE6""], [1, 2, ""Erosion"", ""SE6""], [2, 1, ""Dilation"", ""SE5""], [2, 1, ""Dilation"", ""SE7""], [2, 1, ""Dilation"", ""SE8""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE5""], [2, 1, ""Erosion"", ""SE7""], [None, 1, ""change_color"", [[0, 0, 0], [1, 0, 1], [1, 1, 2], [0, 1, 2]]]]",25671.52
Task001.json,"[[None, 1, ""Hit-Or-Miss"", ""SE7""], [1, 4, ""Dilation"", ""SE7""], [1, 4, ""Erosion"", ""SE7""], [2, 1, ""Dilation"", ""SE2""], [2, 1, ""Dilation"", ""SE7""], [2, 1, ""Dilation"", ""SE5""], [2, 1, ""Dilation"", ""SE7""], [2, 1, ""Erosion"", ""SE5""], [2, 1, ""Erosion"", ""SE2""], [2, 1, ""Erosion"", ""SE7""], [None, 1, ""change_color"", [[0, 0, 0], [0, 1, 2], [1, 1, 2], [1, 0, 1]]]]",16250.55
Task002.json,"[[None, 1, ""Hit-Or-Miss"", ""SE8""], [1, 3, ""Dilation"", ""SE1""], [1, 3, ""Erosion"", ""SE1""], [2, 1, ""Dilation"", ""SE5""], [2, 1, ""Dilation"", ""SE7""], [2, 1, ""Dilation"", ""SE7""], [2, 1, ""Dilation"", ""SE8""], [2, 1, ""Erosion"", ""SE5""], [2, 1, ""Erosion"", ""SE7""], [2, 1, ""Erosion"", ""SE7""], [None, 1, ""change_color"", [[0, 0, 0], [1, 0, 1], [1, 1, 2], [0, 1, 2]]]]",19847.91
Task005.json,"[[None, 1, ""Hit-Or-Miss"", ""SE7""], [1, 2, ""Dilation"", ""SE6""], [1, 2, ""Erosion"", ""SE6""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE5""], [2, 1, ""Dilation"", ""SE7""], [2, 1, ""Erosion"", ""SE5""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE1""], [None, 1, ""change_color"", [[0, 0, 0], [1, 0, 1], [1, 1, 2]]]]",21340.71
Task011.json,"[[None, 1, ""Hit-Or-Miss"", ""SE7""], [1, 4, ""Dilation"", ""SE3""], [1, 4, ""Erosion"", ""SE3""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE7""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE1""], [None, 1, ""change_color"", [[0, 0, 0], [1, 0, 1], [0, 1, 2], [1, 1, 2]]]]",18180.87
Task012.json,"[[None, 1, ""Hit-Or-Miss"", ""SE7""], [1, 2, ""Dilation"", ""SE2""], [1, 2, ""Erosion"", ""SE2""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE7""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE1""], [None, 1, ""change_color"", [[0, 0, 0], [1, 0, 1], [1, 1, 2]]]]",18305.74
Task017.json,"[[None, 1, ""Hit-Or-Miss"", ""SE1""], [1, 4, ""Dilation"", ""SE4""], [1, 4, ""Erosion"", ""SE4""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE1""], [None, 1, ""change_color"", [[0, 0, 0], [1, 0, 1], [0, 1, 2]]]]",1186.7
Task022.json,"[[None, 1, ""Hit-Or-Miss"", ""SE4""], [1, 4, ""Dilation"", ""SE2""], [1, 4, ""Erosion"", ""SE2""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE4""], [2, 1, ""Dilation"", ""SE8""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE8""], [None, 1, ""change_color"", [[0, 0, 0], [0, 1, 2], [1, 0, 1], [1, 1, 2]]]]",17801.48
Task023.json,"[[None, 1, ""Hit-Or-Miss"", ""SE1""], [1, 2, ""Dilation"", ""SE6""], [1, 2, ""Erosion"", ""SE6""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE5""], [2, 1, ""Dilation"", ""SE4""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE5""], [None, 1, ""change_color"", [[0, 0, 0], [1, 0, 1], [1, 1, 2], [0, 1, 2]]]]",1489.39
Task024.json,"[[None, 1, ""Hit-Or-Miss"", ""SE2""], [1, 3, ""Dilation"", ""SE1""], [1, 3, ""Erosion"", ""SE1""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE2""], [2, 1, ""Dilation"", ""SE5""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE5""], [None, 1, ""change_color"", [[0, 0, 0], [0, 1, 2], [1, 0, 1], [1, 1, 2]]]]",4059.84
Task026.json,"[[None, 1, ""Hit-Or-Miss"", ""SE2""], [1, 3, ""Dilation"", ""SE6""], [1, 3, ""Erosion"", ""SE6""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE2""], [2, 1, ""Dilation"", ""SE4""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE1""], [None, 1, ""change_color"", [[0, 0, 0], [1, 0, 1], [0, 1, 2], [1, 1, 2]]]]",5782.38
Task028.json,"[[None, 1, ""Hit-Or-Miss"", ""SE7""], [1, 4, ""Dilation"", ""SE6""], [1, 4, ""Erosion"", ""SE6""], [2, 1, ""Dilation"", ""SE2""], [2, 1, ""Dilation"", ""SE2""], [2, 1, ""Dilation"", ""SE7""], [2, 1, ""Dilation"", ""SE8""], [2, 1, ""Erosion"", ""SE2""], [2, 1, ""Erosion"", ""SE2""], [2, 1, ""Erosion"", ""SE8""], [None, 1, ""change_color"", [[0, 0, 0], [1, 0, 1], [0, 1, 2], [1, 1, 2]]]]",43652.72
