task_id,time_taken,solution
Task000,0.257,"[[0, 1, ""Dilation"", ""SE4""], [0, 1, ""Dilation"", ""SE5""], [0, 1, ""Erosion"", ""SE4""], [0, 1, ""Erosion"", ""SE5""], [0, 4, ""Dilation"", ""SE6""], [0, 4, ""Erosion"", ""SE6""], [1, 1, ""Dilation"", ""SE1""], [1, 1, ""Dilation"", ""SE6""], [1, 1, ""Erosion"", ""SE1""], [1, 1, ""Erosion"", ""SE6""], [1, 4, ""Dilation"", ""SE6""], [1, 4, ""Erosion"", ""SE6""], [2, 1, ""Dilation"", ""SE2""], [2, 1, ""Dilation"", ""SE5""], [2, 1, ""Erosion"", ""SE2""], [2, 1, ""Erosion"", ""SE5""], [2, 4, ""Dilation"", ""SE6""], [2, 4, ""Erosion"", ""SE6""]]"
Task001,0.1052,"[[0, 1, ""Dilation"", ""SE1""], [0, 1, ""Dilation"", ""SE4""], [0, 1, ""Erosion"", ""SE1""], [0, 1, ""Erosion"", ""SE4""], [0, 3, ""Dilation"", ""SE3""], [0, 3, ""Erosion"", ""SE3""], [1, 1, ""Dilation"", ""SE2""], [1, 1, ""Dilation"", ""SE7""], [1, 1, ""Erosion"", ""SE2""], [1, 1, ""Erosion"", ""SE7""], [1, 3, ""Dilation"", ""SE3""], [1, 3, ""Erosion"", ""SE3""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE4""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE4""], [2, 3, ""Dilation"", ""SE3""], [2, 3, ""Erosion"", ""SE3""]]"
Task002,0.0597,"[[0, 1, ""Dilation"", ""SE1""], [0, 1, ""Dilation"", ""SE1""], [0, 1, ""Erosion"", ""SE1""], [0, 1, ""Erosion"", ""SE1""], [0, 3, ""Dilation"", ""SE2""], [0, 3, ""Erosion"", ""SE2""], [1, 1, ""Dilation"", ""SE2""], [1, 1, ""Dilation"", ""SE5""], [1, 1, ""Erosion"", ""SE2""], [1, 1, ""Erosion"", ""SE5""], [1, 3, ""Dilation"", ""SE2""], [1, 3, ""Erosion"", ""SE2""], [2, 1, ""Dilation"", ""SE6""], [2, 1, ""Dilation"", ""SE7""], [2, 1, ""Erosion"", ""SE6""], [2, 1, ""Erosion"", ""SE7""], [2, 3, ""Dilation"", ""SE2""], [2, 3, ""Erosion"", ""SE2""]]"
Task003,0.1353,"[[0, 1, ""Dilation"", ""SE1""], [0, 1, ""Dilation"", ""SE6""], [0, 1, ""Erosion"", ""SE1""], [0, 1, ""Erosion"", ""SE6""], [0, 3, ""Dilation"", ""SE4""], [0, 3, ""Erosion"", ""SE4""], [1, 1, ""Dilation"", ""SE1""], [1, 1, ""Dilation"", ""SE1""], [1, 1, ""Erosion"", ""SE1""], [1, 1, ""Erosion"", ""SE1""], [1, 3, ""Dilation"", ""SE4""], [1, 3, ""Erosion"", ""SE4""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE5""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE5""], [2, 3, ""Dilation"", ""SE4""], [2, 3, ""Erosion"", ""SE4""]]"
Task004,0.4296,"[[0, 1, ""Dilation"", ""SE2""], [0, 1, ""Dilation"", ""SE5""], [0, 1, ""Erosion"", ""SE2""], [0, 1, ""Erosion"", ""SE5""], [0, 3, ""Dilation"", ""SE8""], [0, 3, ""Erosion"", ""SE8""], [1, 1, ""Dilation"", ""SE1""], [1, 1, ""Dilation"", ""SE2""], [1, 1, ""Erosion"", ""SE1""], [1, 1, ""Erosion"", ""SE2""], [1, 3, ""Dilation"", ""SE8""], [1, 3, ""Erosion"", ""SE8""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE4""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE4""], [2, 3, ""Dilation"", ""SE8""], [2, 3, ""Erosion"", ""SE8""]]"
Task005,0.0224,"[[0, 1, ""Dilation"", ""SE1""], [0, 1, ""Dilation"", ""SE4""], [0, 1, ""Erosion"", ""SE1""], [0, 1, ""Erosion"", ""SE4""], [0, 3, ""Dilation"", ""SE1""], [0, 3, ""Erosion"", ""SE1""], [1, 1, ""Dilation"", ""SE1""], [1, 1, ""Dilation"", ""SE4""], [1, 1, ""Erosion"", ""SE1""], [1, 1, ""Erosion"", ""SE4""], [1, 3, ""Dilation"", ""SE1""], [1, 3, ""Erosion"", ""SE1""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE4""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE4""], [2, 3, ""Dilation"", ""SE1""], [2, 3, ""Erosion"", ""SE1""]]"
Task006,0.0101,"[[0, 1, ""Dilation"", ""SE1""], [0, 1, ""Dilation"", ""SE7""], [0, 1, ""Erosion"", ""SE1""], [0, 1, ""Erosion"", ""SE7""], [0, 2, ""Dilation"", ""SE1""], [0, 2, ""Erosion"", ""SE1""], [1, 1, ""Dilation"", ""SE1""], [1, 1, ""Dilation"", ""SE5""], [1, 1, ""Erosion"", ""SE1""], [1, 1, ""Erosion"", ""SE5""], [1, 2, ""Dilation"", ""SE1""], [1, 2, ""Erosion"", ""SE1""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE4""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE4""], [2, 2, ""Dilation"", ""SE1""], [2, 2, ""Erosion"", ""SE1""]]"
Task007,0.1107,"[[0, 1, ""Dilation"", ""SE1""], [0, 1, ""Dilation"", ""SE3""], [0, 1, ""Erosion"", ""SE1""], [0, 1, ""Erosion"", ""SE3""], [0, 3, ""Dilation"", ""SE4""], [0, 3, ""Erosion"", ""SE4""], [1, 1, ""Dilation"", ""SE2""], [1, 1, ""Dilation"", ""SE2""], [1, 1, ""Erosion"", ""SE2""], [1, 1, ""Erosion"", ""SE2""], [1, 3, ""Dilation"", ""SE4""], [1, 3, ""Erosion"", ""SE4""], [2, 1, ""Dilation"", ""SE2""], [2, 1, ""Dilation"", ""SE5""], [2, 1, ""Erosion"", ""SE2""], [2, 1, ""Erosion"", ""SE5""], [2, 3, ""Dilation"", ""SE4""], [2, 3, ""Erosion"", ""SE4""]]"
Task008,0.2393,"[[0, 1, ""Dilation"", ""SE5""], [0, 1, ""Dilation"", ""SE8""], [0, 1, ""Erosion"", ""SE5""], [0, 1, ""Erosion"", ""SE8""], [0, 3, ""Dilation"", ""SE8""], [0, 3, ""Erosion"", ""SE8""], [1, 1, ""Dilation"", ""SE2""], [1, 1, ""Dilation"", ""SE4""], [1, 1, ""Erosion"", ""SE2""], [1, 1, ""Erosion"", ""SE4""], [1, 3, ""Dilation"", ""SE8""], [1, 3, ""Erosion"", ""SE8""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE4""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE4""], [2, 3, ""Dilation"", ""SE8""], [2, 3, ""Erosion"", ""SE8""]]"
Task009,0.2277,"[[0, 1, ""Dilation"", ""SE2""], [0, 1, ""Dilation"", ""SE4""], [0, 1, ""Erosion"", ""SE2""], [0, 1, ""Erosion"", ""SE4""], [0, 2, ""Dilation"", ""SE7""], [0, 2, ""Erosion"", ""SE7""], [1, 1, ""Dilation"", ""SE5""], [1, 1, ""Dilation"", ""SE5""], [1, 1, ""Erosion"", ""SE5""], [1, 1, ""Erosion"", ""SE5""], [1, 2, ""Dilation"", ""SE7""], [1, 2, ""Erosion"", ""SE7""], [2, 1, ""Dilation"", ""SE2""], [2, 1, ""Dilation"", ""SE2""], [2, 1, ""Erosion"", ""SE2""], [2, 1, ""Erosion"", ""SE2""], [2, 2, ""Dilation"", ""SE7""], [2, 2, ""Erosion"", ""SE7""]]"
Task010,0.0202,"[[0, 1, ""Dilation"", ""SE2""], [0, 1, ""Dilation"", ""SE8""], [0, 1, ""Erosion"", ""SE2""], [0, 1, ""Erosion"", ""SE8""], [0, 2, ""Dilation"", ""SE1""], [0, 2, ""Erosion"", ""SE1""], [1, 1, ""Dilation"", ""SE2""], [1, 1, ""Dilation"", ""SE7""], [1, 1, ""Erosion"", ""SE2""], [1, 1, ""Erosion"", ""SE7""], [1, 2, ""Dilation"", ""SE1""], [1, 2, ""Erosion"", ""SE1""], [2, 1, ""Dilation"", ""SE7""], [2, 1, ""Dilation"", ""SE7""], [2, 1, ""Erosion"", ""SE7""], [2, 1, ""Erosion"", ""SE7""], [2, 2, ""Dilation"", ""SE1""], [2, 2, ""Erosion"", ""SE1""]]"
Task011,0.2165,"[[0, 1, ""Dilation"", ""SE1""], [0, 1, ""Dilation"", ""SE8""], [0, 1, ""Erosion"", ""SE1""], [0, 1, ""Erosion"", ""SE8""], [0, 3, ""Dilation"", ""SE7""], [0, 3, ""Erosion"", ""SE7""], [1, 1, ""Dilation"", ""SE2""], [1, 1, ""Dilation"", ""SE7""], [1, 1, ""Erosion"", ""SE2""], [1, 1, ""Erosion"", ""SE7""], [1, 3, ""Dilation"", ""SE7""], [1, 3, ""Erosion"", ""SE7""], [2, 1, ""Dilation"", ""SE2""], [2, 1, ""Dilation"", ""SE8""], [2, 1, ""Erosion"", ""SE2""], [2, 1, ""Erosion"", ""SE8""], [2, 3, ""Dilation"", ""SE7""], [2, 3, ""Erosion"", ""SE7""]]"
