task_id,solution,time_taken
Task000.json,"[[None, ""Hit-Or-Miss"", ""SE8""], [1, ""Dilation"", ""SE6""], [1, ""Dilation"", ""SE7""], [1, ""Erosion"", ""SE6""], [1, ""Erosion"", ""SE7""], [2, ""Dilation"", ""SE8""], [2, ""Dilation"", ""SE1""], [2, ""Dilation"", ""SE5""], [2, ""Erosion"", ""SE1""], [2, ""Erosion"", ""SE5""], [None, ""change_color"", [[0, 0, 0], [0, 1, 2], [1, 0, 1], [1, 1, 2]]]]",112.38
Task001.json,"[[None, ""Hit-Or-Miss"", ""SE6""], [1, ""Dilation"", ""SE8""], [1, ""Dilation"", ""SE1""], [1, ""Erosion"", ""SE8""], [1, ""Erosion"", ""SE1""], [2, ""Dilation"", ""SE6""], [2, ""Dilation"", ""SE1""], [2, ""Dilation"", ""SE4""], [2, ""Erosion"", ""SE1""], [2, ""Erosion"", ""SE4""], [None, ""change_color"", [[0, 0, 0], [1, 0, 1], [1, 1, 2]]]]",33.17
Task002.json,"[[None, ""Hit-Or-Miss"", ""SE7""], [1, ""Dilation"", ""SE2""], [1, ""Dilation"", ""SE4""], [1, ""Erosion"", ""SE2""], [1, ""Erosion"", ""SE4""], [2, ""Dilation"", ""SE7""], [2, ""Dilation"", ""SE1""], [2, ""Dilation"", ""SE8""], [2, ""Erosion"", ""SE1""], [2, ""Erosion"", ""SE8""], [None, ""change_color"", [[0, 0, 0], [1, 0, 1], [1, 1, 2], [0, 1, 2]]]]",63.99
Task003.json,"[[None, ""Hit-Or-Miss"", ""SE7""], [1, ""Dilation"", ""SE2""], [1, ""Dilation"", ""SE5""], [1, ""Erosion"", ""SE2""], [1, ""Erosion"", ""SE5""], [2, ""Dilation"", ""SE7""], [2, ""Dilation"", ""SE1""], [2, ""Dilation"", ""SE1""], [2, ""Erosion"", ""SE1""], [2, ""Erosion"", ""SE1""], [None, ""change_color"", [[0, 0, 0], [1, 0, 1], [1, 1, 2]]]]",60.47
Task004.json,"[[None, ""Hit-Or-Miss"", ""SE8""], [1, ""Dilation"", ""SE4""], [1, ""Dilation"", ""SE5""], [1, ""Erosion"", ""SE4""], [1, ""Erosion"", ""SE5""], [2, ""Dilation"", ""SE8""], [2, ""Dilation"", ""SE1""], [2, ""Dilation"", ""SE7""], [2, ""Erosion"", ""SE1""], [2, ""Erosion"", ""SE7""], [None, ""change_color"", [[0, 0, 0], [1, 0, 1], [1, 1, 2]]]]",56.35
Task005.json,"[[None, ""Hit-Or-Miss"", ""SE6""], [1, ""Dilation"", ""SE2""], [1, ""Dilation"", ""SE7""], [1, ""Erosion"", ""SE2""], [1, ""Erosion"", ""SE7""], [2, ""Dilation"", ""SE6""], [2, ""Dilation"", ""SE1""], [2, ""Dilation"", ""SE7""], [2, ""Erosion"", ""SE1""], [2, ""Erosion"", ""SE7""], [None, ""change_color"", [[0, 0, 0], [1, 0, 1], [1, 1, 2]]]]",83.58
Task006.json,"[[None, ""Hit-Or-Miss"", ""SE3""], [1, ""Dilation"", ""SE1""], [1, ""Dilation"", ""SE2""], [1, ""Erosion"", ""SE1""], [1, ""Erosion"", ""SE2""], [2, ""Dilation"", ""SE3""], [2, ""Dilation"", ""SE1""], [2, ""Dilation"", ""SE1""], [2, ""Erosion"", ""SE1""], [2, ""Erosion"", ""SE1""], [None, ""change_color"", [[0, 0, 0], [1, 0, 1], [1, 1, 2]]]]",16.34
Task007.json,"[[None, ""Hit-Or-Miss"", ""SE1""], [1, ""Dilation"", ""SE2""], [1, ""Dilation"", ""SE7""], [1, ""Erosion"", ""SE2""], [1, ""Erosion"", ""SE7""], [2, ""Dilation"", ""SE1""], [2, ""Dilation"", ""SE5""], [2, ""Dilation"", ""SE8""], [2, ""Erosion"", ""SE5""], [2, ""Erosion"", ""SE8""], [None, ""change_color"", [[0, 0, 0], [0, 1, 2], [1, 0, 1], [1, 1, 2]]]]",4.02
Task008.json,"[[None, ""Hit-Or-Miss"", ""SE4""], [1, ""Dilation"", ""SE2""], [1, ""Dilation"", ""SE8""], [1, ""Erosion"", ""SE2""], [1, ""Erosion"", ""SE8""], [2, ""Dilation"", ""SE1""], [2, ""Dilation"", ""SE1""], [2, ""Dilation"", ""SE4""], [2, ""Erosion"", ""SE1""], [2, ""Erosion"", ""SE4""], [None, ""change_color"", [[0, 0, 0], [1, 0, 1], [1, 1, 2]]]]",25.29
Task009.json,"[[None, ""Hit-Or-Miss"", ""SE6""], [1, ""Dilation"", ""SE6""], [1, ""Dilation"", ""SE8""], [1, ""Erosion"", ""SE6""], [1, ""Erosion"", ""SE8""], [2, ""Dilation"", ""SE6""], [2, ""Dilation"", ""SE2""], [2, ""Dilation"", ""SE4""], [2, ""Erosion"", ""SE2""], [2, ""Erosion"", ""SE4""], [None, ""change_color"", [[0, 0, 0], [1, 0, 1], [1, 1, 2], [0, 1, 2]]]]",37.13
